lake_id,period,region,dominant_landcover,nof_lake_type,lake_perimeter,lake_depth,lake_area,lake_number,lake_name,east_nzmg,north_nzmg,median_NH4N_mg/L^-1,band_classification_NH4N,exceeding_national_bottom_line_NH4N1.3,median_CHLA_mg/m^3,band_classification_CHLA,exceeding_national_bottom_line_CHLA12,median_SECCHI_metre,median_TN_mg/m^3,band_classification_TN,national_bottom_line_TN,exceeding_national_bottom_line_TN,median_TP_mg/m^3,band_classification_TP,exceeding_national_bottom_line_TP50,median_TLI3,band_classification_TLI3
24928,2013-2017,West Coast,Native,Polymictic,498.07,13.46,18685.44,,,2460708,6010453,0.007451,A,FALSE,2.195309,B,FALSE,4.68158,246.2507,A,800,FALSE,13.26364,B,FALSE,2.844945,Oligotrophic (good)
24932,2013-2017,Tasman district council,Native,Stratified,1347.71,23.15,76022,,,2478447,6010606,0.006301,A,FALSE,1.666917,A,FALSE,7.76086,249.5358,B,750,FALSE,15.92023,B,FALSE,2.856155,Oligotrophic (good)
24937,2013-2017,West Coast,Native,Stratified,1794.59,27.06,140965.2,,,2468821,6014510,0.007468,A,FALSE,1.117294,A,FALSE,5.874117,223.0775,B,750,FALSE,6.963487,A,FALSE,2.478137,Oligotrophic (good)
24947,2013-2017,Tasman district council,Native,Stratified,1854.48,27.55,132191.3,,,2469139,6016640,0.006711,A,FALSE,1.461712,A,FALSE,7.084644,213.6524,B,750,FALSE,6.739126,A,FALSE,2.70785,Oligotrophic (good)
24948,2013-2017,Tasman district council,Native,Stratified,658.45,15.67,27605.94,,,2470204,6014456,0.006619,A,FALSE,1.973545,A,FALSE,6.282298,249.8306,B,750,FALSE,13.42254,B,FALSE,2.75375,Oligotrophic (good)
24949,2013-2017,Tasman district council,Native,Stratified,989.03,19.56,60137.31,,,2477696,6011174,0.006685,A,FALSE,1.669023,A,FALSE,7.084644,242.5094,B,750,FALSE,15.18007,B,FALSE,2.843453,Oligotrophic (good)
24954,2013-2017,Tasman district council,Native,Polymictic,579.98,14.62,22948.75,,,2477305,6012405,0.006549,A,FALSE,1.6455,A,FALSE,7.084644,238.1696,A,800,FALSE,13.95683,B,FALSE,2.762061,Oligotrophic (good)
24955,2013-2017,Tasman district council,Native,Stratified,977.11,19.43,60017.63,,,2477253,6013275,0.0062,A,FALSE,1.736588,A,FALSE,7.845252,226.7567,B,750,FALSE,13.42677,B,FALSE,2.812575,Oligotrophic (good)
24958,2013-2017,Tasman district council,Native,Stratified,908.05,18.67,38275.88,,,2475082,6014363,0.007221,A,FALSE,1.57369,A,FALSE,7.084644,232.899,B,750,FALSE,14.58692,B,FALSE,2.827588,Oligotrophic (good)
24960,2013-2017,Tasman district council,Native,Stratified,1981.68,28.56,273748.8,,,2478452,6014061,0.006244,A,FALSE,1.296402,A,FALSE,8.010169,216.9209,B,750,FALSE,11.74768,B,FALSE,2.594414,Oligotrophic (good)
24969,2013-2017,Tasman district council,Native,Stratified,14485.46,84.44,2370000,,,2481051,6009403,0.005947,A,FALSE,1.989755,A,FALSE,8.17277,119.7103,A,750,FALSE,6.594914,A,FALSE,2.786828,Oligotrophic (good)
24971,2013-2017,Tasman district council,Native,Stratified,2110.35,29.56,277376.4,,,2478768,6011038,0.006073,A,FALSE,1.220982,A,FALSE,8.010169,198.6074,B,750,FALSE,8.782811,A,FALSE,2.619948,Oligotrophic (good)
24973,2013-2017,Tasman district council,Native,Polymictic,564.54,14.41,20759.75,,,2453323,6021724,0.00653,A,FALSE,2.920793,B,FALSE,5.646347,295.3265,A,800,FALSE,10.9243,B,FALSE,3.553968,Mesotrophic (average)
24986,2013-2017,Tasman district council,Native,Stratified,650.57,15.57,14125.38,,,2459373,6025847,0.007365,A,FALSE,2.844502,B,FALSE,5.709074,271.6458,B,750,FALSE,13.26399,B,FALSE,3.436475,Mesotrophic (average)
24993,2013-2017,Tasman district council,Native,Stratified,747.47,16.79,38981.63,,,2467565,6017044,0.006432,A,FALSE,1.990737,A,FALSE,5.709074,248.079,B,750,FALSE,13.25289,B,FALSE,2.755191,Oligotrophic (good)
24995,2013-2017,West Coast,Native,Stratified,3634.75,39.75,348011.1,,,2466963,6018890,0.00774,A,FALSE,1.377614,A,FALSE,5.709074,188.9272,B,750,FALSE,5.607375,A,FALSE,2.577873,Oligotrophic (good)
24999,2013-2017,Tasman district council,Native,Stratified,644.72,15.49,15667.63,,,2470587,6021609,0.006455,A,FALSE,3.317939,B,FALSE,7.734849,278.4988,B,750,FALSE,14.16365,B,FALSE,3.411003,Mesotrophic (average)
25000,2013-2017,Tasman district council,Native,Stratified,936.96,18.99,63292.38,,,2474146,6019163,0.006871,A,FALSE,2.019411,B,FALSE,6.617876,239.7866,B,750,FALSE,13.30163,B,FALSE,2.720768,Oligotrophic (good)
25002,2013-2017,Tasman district council,Native,Stratified,5725.08,50.92,733548.6,,,2477217,6022089,0.007315,A,FALSE,2.708376,B,FALSE,8.216123,176.1112,B,750,FALSE,6.46114,A,FALSE,2.979177,Oligotrophic (good)
25004,2013-2017,Tasman district council,Native,Stratified,694.27,16.13,28284.38,,,2477713,6025486,0.00698,A,FALSE,1.947401,A,FALSE,5.709074,247.0028,B,750,FALSE,15.33291,B,FALSE,2.751913,Oligotrophic (good)
25006,2013-2017,Tasman district council,Native,Stratified,1187.74,21.61,68908.13,,,2480762,6022809,0.006162,A,FALSE,2.503725,B,FALSE,8.508226,232.8577,B,750,FALSE,12.91575,B,FALSE,3.146835,Mesotrophic (average)
25008,2013-2017,Tasman district council,Native,Stratified,961.84,19.26,56784.81,,,2479354,6024523,0.006861,A,FALSE,2.481427,B,FALSE,7.76086,236.7959,B,750,FALSE,14.10196,B,FALSE,3.047862,Mesotrophic (average)
25009,2013-2017,Tasman district council,Native,Stratified,768.71,17.05,34182.88,,,2481127,6025096,0.007029,A,FALSE,1.958681,A,FALSE,6.619017,243.5971,B,750,FALSE,15.50925,B,FALSE,2.765265,Oligotrophic (good)
25016,2013-2017,Tasman district council,Native,Polymictic,456.97,12.84,12241.56,,,2471579,6029309,0.007044,A,FALSE,2.330369,B,FALSE,5.709074,260.214,A,800,FALSE,13.763,B,FALSE,3.272849,Mesotrophic (average)
25018,2013-2017,Tasman district council,Native,Stratified,895.93,18.53,41124.44,,,2474135,6028669,0.006271,A,FALSE,2.741135,B,FALSE,6.487593,247.4991,B,750,FALSE,13.9705,B,FALSE,3.249586,Mesotrophic (average)
25023,2013-2017,Tasman district council,Native,Stratified,793.22,17.34,43101.56,,,2472782,6034336,0.006547,A,FALSE,2.206021,B,FALSE,5.716235,248.5617,B,750,FALSE,10.96436,B,FALSE,3.21804,Mesotrophic (average)
25024,2013-2017,Tasman district council,Native,Stratified,3308.1,37.76,444006.6,,,2474487,6034587,0.007067,A,FALSE,1.993502,A,FALSE,6.487593,224.3905,B,750,FALSE,5.755319,A,FALSE,2.986857,Oligotrophic (good)
